,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
95,FDZ27,OUT046,534.6374
96,FDN57,OUT017,263.6568
97,FDA03,OUT018,3285.723
98,FDZ36,OUT045,5580.0698
99,NCU05,OUT013,1949.4624
100,FDT39,OUT018,4870.9928
101,FDK60,OUT017,2740.4328
102,FDZ25,OUT017,1794.3310000000001
103,FDG12,OUT046,2410.196
104,DRB01,OUT019,5580.0698
105,NCC43,OUT027,237.6906
106,FDX13,OUT019,5113.344
107,FDM22,OUT049,552.614
108,FDJ03,OUT027,48.6034
109,FDU14,OUT018,10236.675
110,FDB33,OUT010,1390.1904
111,FDP27,OUT046,2101.9306
112,FDO38,OUT010,778.9860000000001
113,FDE28,OUT027,498.0184
114,FDO27,OUT035,1278.336
115,DRL23,OUT027,223.7088
116,FDS28,OUT046,599.22
117,FDX24,OUT013,1110.5544
118,FDZ02,OUT035,587.2356
119,FDL46,OUT045,2404.8696
120,FDS60,OUT027,815.605
121,NCO06,OUT017,432.77
122,FDO16,OUT035,601.2174
123,FDC60,OUT049,1657.1762
124,FDA48,OUT018,5912.304
125,FDZ36,OUT027,1470.0864
126,FDK27,OUT045,2059.9852
127,FDW23,OUT018,1693.7952
128,FDM14,OUT018,2303.6679999999997
129,FDM14,OUT013,1018.674
130,FDW60,OUT018,6817.7919999999995
131,FDE21,OUT013,1717.764
132,NCM42,OUT035,1334.2632
133,FDY59,OUT010,1323.6104
134,DRI49,OUT049,1288.9888
135,FDT28,OUT019,1524.682
136,FDQ22,OUT018,1096.5726
137,FDR60,OUT049,778.9860000000001
138,FDC50,OUT019,1237.7222
139,FDV24,OUT013,3383.5956
140,DRF48,OUT010,2656.542
141,FDQ47,OUT046,141.1496
142,DRN36,OUT049,1388.8588
143,NCY06,OUT035,2614.5966
144,FDE52,OUT035,2051.9956
145,NCB54,OUT045,1114.5492
146,NCF31,OUT035,1829.6184
147,FDJ08,OUT027,1126.5336
148,NCC07,OUT017,319.584
149,NCD19,OUT027,122.5072
150,FDL46,OUT049,2396.88
151,FDM20,OUT045,3395.58
152,NCI06,OUT010,535.3032
153,DRM11,OUT035,3004.0896
154,NCH07,OUT018,6391.68
155,FDS23,OUT013,3052.0272
156,FDO49,OUT018,1975.4286
157,FDS35,OUT049,1201.769
158,DRK39,OUT045,1331.6
159,DRI39,OUT049,764.3384
160,FDV04,OUT017,1644.526
161,NCN14,OUT035,1443.4544
162,FDH08,OUT013,4527.44
163,FDS20,OUT046,2554.0088
164,FDV40,OUT049,535.969
165,FDZ48,OUT010,1901.5248
166,FDS24,OUT027,442.75699999999995
167,FDK44,OUT049,3528.74
168,FDS48,OUT045,1805.6496
169,FDK26,OUT010,1277.0044
170,FDD23,OUT045,3415.554
171,NCH54,OUT017,2897.5616
172,NCP14,OUT010,2117.244
173,FDM60,OUT010,531.3084
174,FDV24,OUT017,1182.4608
175,FDH08,OUT018,5283.1230000000005
176,FDS12,OUT027,125.8362
177,FDR39,OUT027,892.172
178,FDP12,OUT027,37.9506
179,DRF60,OUT027,436.7648
180,FDC09,OUT035,1960.781
181,FDF50,OUT018,4729.8432
182,FDG28,OUT035,5287.7836
183,NCE19,OUT017,644.4944
184,NCM53,OUT010,1637.868
185,NCN18,OUT049,873.5296
186,FDF32,OUT035,3153.2288
187,FDF11,OUT013,1842.9344
188,DRI59,OUT049,4567.388
189,NCG54,OUT035,1882.2166
190,FDM44,OUT046,309.597
191,FDT57,OUT018,6636.6944
192,FDV24,OUT046,1372.2138
193,FDI50,OUT019,5816.4288
194,FDS09,OUT035,860.2136
195,NCC31,OUT027,447.4176
196,FDQ07,OUT019,4407.596
197,FDC22,OUT017,2101.9306
198,FDZ56,OUT046,2358.2636
199,FDZ40,OUT019,1037.3164
200,FDS46,OUT027,222.3772
201,DRD24,OUT045,1134.5232
202,FDV45,OUT017,4693.89
203,FDL26,OUT045,1390.1904
204,FDA56,OUT018,2463.46
205,FDN27,OUT046,1649.8524
206,FDM20,OUT049,4074.696
207,FDO16,OUT017,1310.2944
208,FDL03,OUT035,3901.5879999999997
209,FDE58,OUT046,2519.3872
210,FDI02,OUT027,223.7088
211,NCC55,OUT019,531.3084
212,FDR03,OUT018,3757.1094
213,FDB14,OUT017,1607.2412
214,FDR45,OUT013,2900.2248
215,NCN07,OUT017,3635.268
216,FDM51,OUT019,1547.985
217,FDT52,OUT027,450.0808
218,FDL26,OUT046,1390.1904
219,NCZ42,OUT046,5451.5704
220,DRI47,OUT019,3006.087
221,FDW40,OUT013,4516.7872
222,FDN34,OUT046,3523.4136
223,FDS01,OUT035,5688.5952
224,NCG55,OUT045,2828.3184
225,FDC11,OUT035,1418.154
226,FDX35,OUT018,6171.3002
227,NCB06,OUT046,1438.128
228,FDR09,OUT019,6795.1548
229,FDC53,OUT017,607.2096
230,FDY45,OUT013,4993.5
231,FDA22,OUT010,3914.9040000000005
232,FDE02,OUT035,2856.282
233,FDW21,OUT045,3558.0352
234,FDV34,OUT046,557.2746
235,FDS59,OUT049,1657.842
236,NCW17,OUT017,2530.7058
237,NCK54,OUT046,1158.492
238,FDG17,OUT019,5416.9488
239,FDG35,OUT017,2954.1546
240,FDD08,OUT010,372.848
241,NCO07,OUT017,4029.4216
242,FDJ10,OUT010,1596.5884
243,FDW36,OUT017,1661.8368
244,FDW21,OUT010,1556.6404
245,FDY19,OUT017,1649.8524
246,DRE03,OUT013,575.2512
247,NCC55,OUT049,353.5398
248,FDH52,OUT010,1669.8264
249,FDO09,OUT017,5536.7928
250,FDU43,OUT045,3575.3459999999995
251,FDX09,OUT010,2093.2752
252,FDH40,OUT019,3579.3408
253,FDW58,OUT017,3558.0352
254,FDC47,OUT017,2563.33
255,NCR41,OUT035,1713.7692
256,DRG49,OUT035,3072.667
257,FDC52,OUT027,151.8024
258,FDY13,OUT046,1128.531
259,FDY35,OUT013,597.2226
260,FDI35,OUT017,2846.295
261,NCU18,OUT049,1976.0944
262,FDY33,OUT018,4278.4308
263,FDC15,OUT027,312.926
264,FDU01,OUT049,6687.960999999999
265,NCU42,OUT046,4211.185
266,NCV29,OUT018,5070.7328
267,NCY30,OUT017,2716.4640000000004
268,FDQ46,OUT049,792.302
269,FDG58,OUT027,296.9468
270,FDK33,OUT017,4029.4216
271,NCD07,OUT045,820.2656
272,NCX29,OUT027,463.3968
273,NCT42,OUT013,1402.1748
274,DRN59,OUT035,780.9834
275,FDI44,OUT035,1235.7248
276,FDA45,OUT049,2999.429
277,FDP31,OUT045,639.168
278,FDY01,OUT046,2303.6679999999997
279,FDT09,OUT018,2936.178
280,DRH03,OUT027,93.8778
281,FDA36,OUT018,6817.7919999999995
282,NCF31,OUT017,1853.5872
283,FDG14,OUT049,1099.9016
284,FDG28,OUT027,450.0808
285,FDU14,OUT049,3745.125
286,FDY47,OUT019,3004.0896
287,FDI56,OUT049,996.0368
288,DRD01,OUT013,509.337
289,FDM22,OUT046,1102.5648
290,FDH33,OUT013,949.4308
291,DRZ24,OUT013,843.5686
292,NCQ38,OUT046,1158.492
293,FDO16,OUT027,98.5384
294,FDU07,OUT027,306.268
295,NCB07,OUT013,3248.4382
296,FDU48,OUT045,1038.6480000000001
297,NCM43,OUT045,2428.8384
298,FDR31,OUT010,2902.888
299,DRK49,OUT018,1342.2528
300,NCI30,OUT010,2396.88
301,DRD60,OUT017,5182.5872
302,NCG19,OUT046,2636.5679999999998
303,FDH12,OUT035,2419.5172
304,FDM32,OUT035,2109.2544
305,FDM27,OUT035,2207.127
306,NCU53,OUT027,316.9208
307,NCQ18,OUT046,1508.037
308,FDS10,OUT013,3568.688
309,FDB33,OUT027,1090.5804
310,FDI12,OUT013,1505.3738
311,NCW42,OUT013,7105.4176
312,NCC06,OUT018,3119.9388
313,FDW02,OUT017,1733.7432
314,NCD43,OUT017,193.082
315,FDM57,OUT018,1845.5976
316,FDA58,OUT017,3113.2808
317,FDK56,OUT046,3367.6164
318,FDP52,OUT045,2203.798
319,FDW20,OUT018,2463.46
320,FDS52,OUT049,607.2096
321,NCT29,OUT018,4097.3332
322,NCL54,OUT013,2646.555
323,FDC05,OUT045,5536.7928
324,FDF34,OUT035,5267.1438
325,FDP03,OUT027,495.3552
326,FDD32,OUT010,1543.3244
327,FDZ10,OUT045,1369.5506
328,FDZ40,OUT035,939.4438
329,FDD51,OUT018,918.804
330,NCY30,OUT019,716.4008
331,FDP58,OUT017,3723.8194
332,FDV49,OUT017,4757.8068
333,FDY24,OUT019,1194.4452
334,NCO55,OUT017,750.3566
335,FDR13,OUT017,1281.665
336,FDS51,OUT017,990.7104
337,FDP26,OUT045,627.1836
338,NCB54,OUT027,105.8622
339,FDF32,OUT017,3954.8520000000003
340,FDN31,OUT018,7504.2318
341,DRM48,OUT017,759.012
342,FDN20,OUT049,1174.4712
343,DRL01,OUT046,5608.6992
344,FDV56,OUT049,2740.4328
345,DRH13,OUT027,213.05599999999998
346,FDA03,OUT017,3645.255
347,FDF47,OUT027,1482.0708
348,FDX32,OUT046,1938.8096
349,FDX57,OUT049,1438.128
350,NCA30,OUT045,3327.6684
351,FDO49,OUT013,886.8456
352,FDL04,OUT019,1237.7222
353,DRM48,OUT035,759.012
354,FDR16,OUT013,6291.81
355,NCC19,OUT018,3101.2964
356,NCE42,OUT045,4266.4464
357,FDY24,OUT017,647.1576
358,FDH19,OUT049,3415.554
359,FDJ46,OUT013,1062.6168
360,FDN45,OUT010,4274.436
361,FDY08,OUT035,1174.4712
362,FDZ37,OUT035,1388.193
363,NCT30,OUT045,605.878
364,DRY23,OUT018,809.6128
365,NCZ30,OUT018,2303.6679999999997
366,FDC44,OUT018,4376.9692
367,FDB45,OUT035,1788.3388
368,FDY04,OUT013,1278.336
369,FDM27,OUT046,2207.127
370,FDZ43,OUT017,3575.3459999999995
371,FDT39,OUT019,4287.752
372,NCC06,OUT019,2528.7084
373,FDL15,OUT027,150.4708
374,FDL57,OUT017,4425.5726
375,FDU08,OUT046,396.8168
376,FDK40,OUT017,1569.9564
377,FDQ12,OUT010,4414.9198
378,FDS48,OUT017,2858.9452
379,FDP09,OUT045,7833.8028
380,FDW21,OUT049,1334.2632
381,FDY25,OUT035,5070.7328
382,DRE13,OUT017,1418.154
383,FDV43,OUT019,154.4656
384,FDD22,OUT045,1584.604
385,FDM46,OUT019,575.2512
386,NCO30,OUT010,2205.1296
387,FDM25,OUT046,3103.9596
388,NCN41,OUT049,1038.6480000000001
389,FDU24,OUT045,1018.0082
390,FDZ50,OUT046,2918.8672
391,FDP45,OUT013,6474.2392
392,NCM54,OUT045,876.1928
393,FDW10,OUT019,2117.244
394,FDP20,OUT017,1867.569
395,FDK32,OUT046,2257.062
396,FDN52,OUT049,527.3136
397,FDM58,OUT045,479.376
398,FDZ46,OUT027,143.8128
399,NCA18,OUT018,5063.409000000001
400,FDD35,OUT046,2576.646
401,NCK31,OUT035,467.3916
402,FDI40,OUT027,87.2198
403,FDT50,OUT019,418.1224
404,NCT06,OUT046,4807.7418
405,FDT31,OUT035,2245.0776
406,FDT45,OUT049,552.614
407,FDT13,OUT045,2406.2012
408,FDO50,OUT045,988.7130000000001
409,NCU18,OUT010,3277.0676
410,NCR54,OUT049,2693.8268
411,NCO18,OUT018,3511.4292
412,FDU09,OUT045,1547.3192
413,FDT13,OUT018,3511.4292
414,FDE09,OUT046,1215.7508
415,NCK53,OUT019,1619.2256
416,FDG45,OUT049,1496.0526
417,DRH15,OUT035,597.2226
418,FDO21,OUT019,1736.4064
419,FDD14,OUT027,392.82199999999995
420,FDC09,OUT046,1076.5986
421,FDH45,OUT027,42.6112
422,FDV32,OUT046,1201.769
423,FDG12,OUT035,964.0784
424,FDS32,OUT013,1264.3542
425,NCL55,OUT018,3695.19
426,DRE01,OUT035,5759.17
427,DRE15,OUT049,1571.2879999999998
428,NCL42,OUT045,2702.4822
429,FDP31,OUT013,1086.5856
430,FDN33,OUT018,4022.7636
431,FDZ59,OUT046,3169.208
432,FDE45,OUT010,6471.576
433,FDJ07,OUT013,2649.2182
434,FDQ45,OUT018,5852.382
435,FDM33,OUT027,1342.2528
436,FDO15,OUT010,517.3266
437,FDM46,OUT013,1323.6104
438,FDR03,OUT045,1065.28
439,FDY49,OUT018,5704.5744
440,FDQ60,OUT045,3199.8348
441,FDW10,OUT049,2117.244
442,FDO51,OUT049,628.5152
443,FDJ40,OUT018,3057.3536
444,FDS20,OUT018,6704.606
445,FDU45,OUT013,4122.6336
446,FDV02,OUT035,2005.3896
447,FDN09,OUT046,2416.854
448,NCM55,OUT027,745.696
449,FDN23,OUT018,4157.2552
450,FDY31,OUT010,2022.7004
451,FDW03,OUT010,1672.4896
452,FDD14,OUT046,2581.9724
453,FDV23,OUT017,1017.3424
454,DRI03,OUT045,4250.4672
455,FDN13,OUT035,1237.7222
456,FDF45,OUT027,61.2536
457,FDU46,OUT035,1211.756
458,FDB57,OUT049,910.8144
459,FDV12,OUT049,1488.0629999999999
460,FDQ58,OUT013,3506.7686
461,NCA18,OUT017,579.246
462,FDH52,OUT049,1052.6298
463,FDM24,OUT018,4414.254
464,NCP43,OUT027,319.584
465,NCO18,OUT019,3415.554
466,FDM32,OUT017,2109.2544
467,NCL07,OUT017,755.0172
468,FDK03,OUT013,6474.2392
469,FDP59,OUT017,1743.0644
470,FDQ24,OUT049,6183.9504
471,FDQ16,OUT018,5063.409000000001
472,FDU44,OUT013,2137.8838
473,FDH28,OUT010,154.4656
474,FDV28,OUT019,203.7348
475,FDM22,OUT045,1431.47
476,FDR56,OUT046,2836.308
477,FDV39,OUT049,4795.0916
478,FDU37,OUT019,958.752
479,FDQ11,OUT010,9275.9256
480,FDX02,OUT045,1965.4416
481,NCS42,OUT018,3494.1184
482,FDY57,OUT027,189.0872
483,FDB21,OUT049,3653.9104
484,FDE28,OUT017,5061.4116
485,FDQ55,OUT017,2908.2144
486,FDA48,OUT049,3375.6059999999998
487,FDZ19,OUT045,529.311
488,NCC43,OUT045,3775.086
489,NCV18,OUT046,1178.4660000000001
490,NCA42,OUT018,2471.4496
491,FDY45,OUT046,3745.125
492,NCC30,OUT045,2696.49
493,FDM57,OUT013,1505.3738
494,FDL09,OUT010,3509.4318
495,FDB09,OUT027,263.6568
496,FDT44,OUT035,2607.2728
497,NCT06,OUT027,437.4306
498,FDX26,OUT049,3844.995
499,FDK32,OUT013,2503.408
500,DRA12,OUT046,2013.3792
501,FDO46,OUT010,2458.1336
502,FDE52,OUT013,2051.9956
503,NCH42,OUT045,5005.4844
504,FDV08,OUT035,974.7312
505,FDB47,OUT018,6897.688
506,FDC28,OUT010,873.5296
507,FDD22,OUT046,458.0704
508,FDS07,OUT027,223.7088
509,DRI13,OUT045,3094.6384
510,FDG32,OUT018,4432.2306
511,FDU14,OUT017,3775.086
512,FDD28,OUT019,592.562
513,NCP41,OUT017,1657.842
514,FDS08,OUT049,3175.866
515,FDX47,OUT045,2503.408
516,FDC53,OUT019,2579.975
517,FDQ19,OUT035,969.4048
518,FDL14,OUT045,1099.9016
519,FDM33,OUT019,5193.24
520,FDA51,OUT045,3467.4864
521,FDZ27,OUT018,826.2578
522,FDT04,OUT046,511.3344
523,DRC13,OUT049,1404.838
524,FDR16,OUT027,884.1824
525,FDQ03,OUT027,1046.6376
526,FDE38,OUT035,4512.1266
527,DRH23,OUT027,218.3824
528,FDT11,OUT019,5502.8369999999995
529,FDD09,OUT035,2173.1712
530,FDR40,OUT045,1593.9252
531,FDX07,OUT017,2563.33
532,FDR07,OUT035,2055.3246
533,FDA51,OUT017,3467.4864
534,FDT59,OUT019,7105.4176
535,FDF20,OUT017,2886.243
536,FDR13,OUT045,1366.2216
537,FDY26,OUT049,7833.8028
538,FDW04,OUT017,1743.0644
539,FDK52,OUT017,5061.4116
540,FDN60,OUT049,2535.3664
541,FDM09,OUT019,4431.5648
542,FDP46,OUT049,1505.3738
543,FDB50,OUT019,1728.4168
544,NCQ29,OUT049,6424.97
545,FDP16,OUT027,1046.6376
546,FDX33,OUT018,2255.7304
547,FDP07,OUT010,3338.987
548,FDN22,OUT046,3068.0064
549,FDF39,OUT049,7549.5062
550,FDS21,OUT017,770.3306
551,NCM42,OUT013,2930.1858
552,FDK50,OUT019,942.7728
553,DRF13,OUT027,331.5684
554,FDH35,OUT018,2960.1468
555,FDP60,OUT018,1304.968
556,DRJ49,OUT027,121.1756
557,NCT42,OUT019,2354.2688
558,FDE38,OUT049,4512.1266
559,FDI04,OUT049,593.2278
560,NCH54,OUT045,1390.1904
561,FDT56,OUT049,552.614
562,DRD15,OUT018,3185.1872
563,FDV58,OUT013,2712.4692
564,FDP21,OUT049,1864.24
565,FDH05,OUT013,2484.7656
566,FDR10,OUT027,649.8208
567,NCP06,OUT045,3325.0052
568,FDF33,OUT049,1607.9070000000002
569,DRK37,OUT013,3755.112
570,DRH49,OUT045,743.0328
571,FDT58,OUT013,1838.2738
572,FDD41,OUT018,2090.612
573,FDP40,OUT018,3202.498
574,FDM51,OUT027,259.66200000000003
575,FDO45,OUT010,1505.3738
576,FDW33,OUT010,627.1836
577,FDY24,OUT045,1348.245
578,FDB10,OUT010,4500.808
579,FDM40,OUT035,2552.6772
580,NCI06,OUT017,4586.0304
581,FDW12,OUT019,2902.888
582,FDX48,OUT027,477.3786
583,NCW05,OUT027,113.186
584,FDX27,OUT017,479.376
585,DRM37,OUT045,1186.4556
586,FDA38,OUT045,3395.58
587,FDR36,OUT046,878.8560000000001
588,FDZ45,OUT046,3174.5344
589,FDG05,OUT017,4102.6596
590,FDK28,OUT013,5410.9566
591,FDV47,OUT045,1845.5976
592,FDN21,OUT045,3299.7048
593,FDP20,OUT027,369.519
594,FDI35,OUT045,3415.554
595,DRY23,OUT013,426.11199999999997
596,FDA56,OUT017,1583.9382
597,FDB09,OUT013,747.0276
598,NCO26,OUT027,115.8492
599,FDQ49,OUT018,7741.9224
600,FDI52,OUT027,247.6776
601,FDZ44,OUT027,241.0196
602,FDZ09,OUT018,4111.315
603,FDY03,OUT049,1138.518
604,NCG42,OUT017,1618.5598
605,DRI13,OUT027,1524.0162
606,FDQ32,OUT013,1072.6038
607,FDW16,OUT035,1707.777
608,FDU27,OUT046,413.4618
609,FDR28,OUT010,2120.573
610,FDQ49,OUT010,1372.2138
611,FDS37,OUT046,1603.2464
612,FDW26,OUT018,7094.7648
613,FDX12,OUT018,4566.7222
614,NCP06,OUT013,4836.3712
615,FDW45,OUT010,1869.5664
616,NCN30,OUT049,856.8846
617,FDN24,OUT049,386.8298
618,NCL41,OUT027,123.8388
619,FDR02,OUT019,1438.128
620,FDD09,OUT010,9069.5276
621,FDS33,OUT010,878.8560000000001
622,FDU22,OUT045,3355.632
623,FDI53,OUT013,1022.6688
624,DRH01,OUT049,3428.2042
625,FDX32,OUT013,2013.3792
626,NCP30,OUT018,721.0614
627,FDB60,OUT045,2587.9646
628,FDB14,OUT049,1607.2412
629,NCP02,OUT035,996.0368
630,FDJ10,OUT017,1174.4712
631,FDG34,OUT046,587.2356
632,NCB18,OUT017,1018.0082
633,FDM16,OUT049,557.2746
634,FDW25,OUT018,1448.7808
635,FDB35,OUT010,378.1744
636,DRN11,OUT013,1596.5884
637,FDF41,OUT019,4672.5844
638,FDH16,OUT045,1022.6688
639,NCQ50,OUT018,3837.0054
640,DRH23,OUT018,1514.695
641,DRJ37,OUT013,3022.732
642,DRJ24,OUT027,745.696
643,FDY16,OUT035,3327.6684
644,FDQ27,OUT045,1238.388
645,FDZ33,OUT045,1647.855
646,FDF29,OUT045,2856.282
647,FDA08,OUT049,2120.573
648,FDG31,OUT046,1120.5414
649,FDE34,OUT019,2876.256
650,NCR30,OUT027,74.5696
651,FDV33,OUT035,7084.111999999999
652,DRZ24,OUT018,4952.8862
653,NCL54,OUT035,2822.992
654,FDR12,OUT049,2233.0932
655,NCC54,OUT046,3435.528
656,DRN59,OUT013,780.9834
657,FDX50,OUT019,1768.3648
658,FDV31,OUT027,493.3578
659,NCA29,OUT027,300.9416
660,FDW60,OUT049,2854.9504
661,FDX08,OUT017,1629.8784
662,DRD49,OUT013,5243.8408
663,FDD33,OUT046,4086.0146
664,FDW35,OUT013,849.5608
665,FDJ36,OUT017,1142.5128
666,FDV51,OUT035,5390.3168
667,FDW36,OUT046,2117.244
668,FDH35,OUT046,1644.526
669,NCS30,OUT027,115.8492
670,FDN49,OUT017,796.9626
671,FDL08,OUT018,3675.216
672,FDI09,OUT013,5033.448
673,FDP19,OUT018,3237.1196
674,FDU21,OUT010,568.5932
675,NCP41,OUT045,1435.4648
676,FDY10,OUT013,1779.0176
677,FDP12,OUT018,898.83
678,NCN26,OUT049,1281.665
679,FDK44,OUT013,529.311
680,FDC28,OUT049,2293.0152
681,FDJ41,OUT027,1046.6376
682,NCT29,OUT035,2253.0672
683,NCH42,OUT019,6291.81
684,FDU60,OUT018,1216.4166
685,FDS02,OUT045,3057.3536
686,FDC51,OUT046,1601.249
687,FDU03,OUT013,6385.022
688,FDX39,OUT045,2492.7552
689,NCY05,OUT010,407.4696
690,NCL06,OUT027,255.6672
691,FDD32,OUT035,2336.958
692,NCN41,OUT045,1038.6480000000001
693,NCX53,OUT049,3495.45
694,FDU57,OUT019,1166.4816
695,FDQ23,OUT046,509.337
696,FDQ52,OUT045,2536.698
697,FDC14,OUT045,707.0796
698,FDY09,OUT035,2061.3168
699,FDQ28,OUT045,2197.14
700,FDV25,OUT046,2684.5056
701,FDJ07,OUT035,1757.7120000000002
702,DRB25,OUT049,319.584
703,FDK52,OUT019,2484.7656
704,FDY52,OUT027,122.5072
705,FDB28,OUT046,2946.165
706,FDT36,OUT035,607.2096
707,FDV25,OUT017,3225.1352
708,NCN07,OUT027,337.5606
709,FDC57,OUT017,1695.7926
710,FDQ03,OUT018,3486.1288
711,FDU23,OUT017,4362.3216
712,NCX41,OUT035,3811.0392
713,NCD06,OUT035,950.7624
714,FDW08,OUT045,3002.0922
715,NCU29,OUT017,2157.192
716,NCE06,OUT013,2376.906
717,FDV52,OUT010,2764.4016
718,FDB02,OUT017,5888.3352
719,NCR18,OUT045,649.155
720,FDK16,OUT049,1998.7316
721,NCQ29,OUT010,1522.0188
722,FDZ01,OUT019,1547.985
723,FDW27,OUT035,1188.453
724,FDD17,OUT018,7100.757
725,FDW39,OUT013,1416.8224
726,DRH59,OUT045,1956.1204
727,FDS52,OUT013,2665.8632
728,FDU40,OUT027,387.4956
729,NCF54,OUT013,2596.62
730,FDH46,OUT045,587.2356
731,NCP14,OUT049,509.337
732,FDH50,OUT049,1295.6468
733,DRF15,OUT010,5274.4676
734,FDV27,OUT027,182.4292
735,NCJ06,OUT049,3533.4006
736,FDN02,OUT018,5383.6588
737,FDQ51,OUT049,437.4306
738,FDQ07,OUT017,3375.6059999999998
739,FDS45,OUT049,958.752
740,NCJ06,OUT045,3533.4006
741,FDD36,OUT035,1540.6612
742,FDY25,OUT045,4165.2448
743,FDU52,OUT046,2808.3444
744,DRK47,OUT017,3072.667
745,NCL30,OUT017,1618.5598
746,FDN22,OUT035,3068.0064
747,NCF30,OUT027,127.1678
748,FDK03,OUT035,5153.292
749,FDT45,OUT017,1102.5648
750,NCC54,OUT027,790.9704
751,FDP08,OUT018,5499.508000000001
752,FDU44,OUT046,5198.5664
753,DRG39,OUT035,639.168
754,FDU32,OUT049,2410.196
755,FDY27,OUT049,3984.1472
756,NCP54,OUT013,1120.5414
757,NCZ41,OUT049,1150.5024
758,DRL49,OUT013,3034.0506
759,FDI05,OUT018,3364.9532
760,FDY56,OUT045,5642.655
761,DRC13,OUT013,992.7078
762,NCV29,OUT017,3803.0496
763,FDR24,OUT049,1267.6832
764,FDZ34,OUT018,7142.7024
765,FDP37,OUT035,3880.2824
766,FDX08,OUT027,300.9416
767,FDS57,OUT045,3006.087
768,NCG18,OUT049,1280.9992
769,FDK25,OUT018,4327.7
770,FDH53,OUT049,1310.2944
771,DRI59,OUT018,6306.4576
772,FDA52,OUT046,3881.614
773,FDT20,OUT010,372.848
774,FDE36,OUT019,3588.6620000000003
775,FDI24,OUT017,2626.5809999999997
776,FDB28,OUT018,6897.688
777,FDV11,OUT017,1058.622
778,FDP01,OUT046,3325.0052
779,FDD34,OUT027,822.263
780,FDJ50,OUT027,50.6008
781,FDZ44,OUT013,1523.3504
782,DRO59,OUT035,1138.518
783,DRB48,OUT045,314.2576
784,FDR21,OUT018,1216.4166
785,NCE42,OUT010,4727.18
