Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
27,5.925,1,0.161466534,0,45.5086,2,1998,1,1,2,178.4344
28,14.5,1,0.072221801,11,43.6454,9,1985,1,0,2,125.8362
29,19.25,0,0.17034855100000001,0,55.7956,2,1998,1,1,2,163.7868
30,18.6,0,0.080829372,9,96.4436,1,2009,0,1,1,2741.7644
31,18.7,0,0.1026783142,6,256.6672,1,2009,0,1,1,3068.0064
32,17.85,0,0.16484637650000003,12,93.1436,5,2002,1,2,0,2174.5028
33,17.5,0,0.097904029,1,174.8738,7,1997,1,0,0,2085.2856
34,10.0,0,0.08929113699999999,9,146.7102,0,1999,0,0,0,3791.0652
35,20.2,1,0.059511812000000004,3,128.0678,4,1985,0,1,3,2797.6916
36,8.85,1,0.113123893,1,122.5388,1,2009,0,1,1,1609.9044
37,6.385,1,0.12311145300000001,6,36.9874,4,1985,0,1,3,388.1614
38,15.25,0,0.026480953999999998,6,87.6198,4,1985,0,1,3,2180.495
18,13.35,0,0.102511504,0,230.6352,7,1997,1,0,0,3435.528
39,9.8,0,0.02681843,2,126.00200000000001,3,1987,2,1,0,2150.534
40,13.6,0,0.117818348,6,192.9136,0,1999,0,0,0,2527.3768
41,21.35,0,0.06910283099999999,11,259.9278,1,2009,0,1,1,6768.5228
42,12.15,1,0.042277867000000004,11,126.5046,3,1987,2,1,0,373.5138
43,6.42,0,0.08949892599999999,0,178.1002,2,1998,1,1,2,358.2004
44,19.6,0,0.028135430666666666,9,153.3024,5,2002,1,2,0,2428.8384
45,10.0,0,0.025879577,11,265.2226,5,2002,1,2,0,5815.0972
46,15.85,1,0.121632721,5,60.622,7,1997,1,0,0,2576.646
47,10.195,1,0.25539489600000004,0,196.8794,9,1985,1,0,2,780.3176
48,7.39,0,0.067779712,9,143.8812,7,1997,1,0,0,3134.5864
49,10.195,0,0.159803853,7,141.5154,3,1987,2,1,0,850.8924
50,9.895,1,0.028696932,11,117.0492,3,1987,2,1,0,810.9444
51,10.895,0,0.065041581,3,196.3794,6,2007,1,2,0,3121.2704
52,12.15,0,0.028760012999999997,4,151.4708,6,2007,1,2,0,4815.0656
53,7.905,0,0.010053105,6,249.0408,1,2009,0,1,1,6258.52
54,9.195,0,0.048157338,4,106.1622,5,2002,1,2,0,2117.244
55,8.365,0,0.071958197,10,38.0506,0,1999,0,0,0,796.9626
56,15.1,0,0.17348130399999998,6,194.511,7,1997,1,0,0,4910.275
57,5.94,0,0.061082177,11,180.0344,9,1985,1,0,2,892.172
58,10.0,0,0.03874801133333333,3,246.9144,1,2009,0,1,1,3185.1872
59,7.97,1,0.040071131,2,87.3514,5,2002,1,2,0,1062.6168
60,6.215,0,0.012090074,3,38.2848,4,1985,0,1,3,484.7024
61,15.5,1,0.15028599,7,51.0692,9,1985,1,0,2,147.8076
62,17.5,0,0.026015518999999997,6,255.8356,4,1985,0,1,3,2543.356
63,17.7,0,0.195068226,6,185.4266,2,1998,1,1,2,184.4266
64,19.35,0,0.033082215,2,172.5738,8,2004,1,2,0,4865.6664
65,13.65,1,0.078946455,0,186.024,5,2002,1,2,0,1118.5439999999999
66,17.6,0,0.041700756,1,164.8526,5,2002,1,2,0,2302.3364
67,8.645,0,0.14342264300000002,9,95.84100000000001,7,1997,1,0,0,2027.361
68,15.6,1,0.10529607199999999,6,170.1764,7,1997,1,0,0,3435.528
46,15.85,1,0.121531501,5,59.222,3,1987,2,1,0,599.22
69,18.25,0,0.068386192,13,164.7526,5,2002,1,2,0,4604.6728
70,7.855,0,0.011324862,11,189.6188,6,2007,1,2,0,2285.0256
71,7.825,0,0.186357148,4,254.3698,0,1999,0,0,0,5580.7356
72,8.39,1,0.024205661,7,114.0176,7,1997,1,0,0,2290.3520000000003
73,12.85,0,0.033230816,6,172.3422,0,1999,0,0,0,1207.0954
74,13.35,0,0.113720344,5,89.9804,9,1985,1,0,2,643.1628
75,19.0,0,0.11255650699999999,7,104.9622,6,2007,1,2,0,1587.933
76,5.905,0,0.054276717,11,222.5456,5,2002,1,2,0,5305.0944
77,7.76,0,0.05935224099999999,6,101.87,7,1997,1,0,0,1697.79
78,11.8,1,0.014087057,7,180.3344,7,1997,1,0,0,1427.4752
79,16.75,0,0.045230944,6,187.9556,1,2009,0,1,1,4693.89
80,18.85,0,0.293417759,4,194.6136,9,1985,1,0,2,583.2408
81,12.6,1,0.031382044,5,171.3764,4,1985,0,1,3,3091.9752
82,15.5,1,0.12639886,3,177.0028,6,2007,1,2,0,2479.4392
83,6.055,0,0.025403897999999998,3,160.99200000000002,8,2004,1,2,0,2716.4640000000004
84,20.2,1,0.039057677,8,155.963,4,1985,0,1,3,3285.723
85,6.305,1,0.123115764,6,95.6436,7,1997,1,0,0,661.8052
86,20.85,0,0.039624006,2,117.2808,0,1999,0,0,0,1523.3504
87,20.75,0,0.040421193,3,122.17299999999999,2,1998,1,1,2,369.519
88,8.895,0,0.10527411099999999,0,39.9138,0,1999,0,0,0,690.4346
89,19.6,0,0.033970195,1,55.1614,5,2002,1,2,0,1381.535
90,19.7,0,0.053212652,3,57.893,8,2004,1,2,0,622.523
91,9.8,0,0.024378706,9,114.5492,8,2004,1,2,0,1274.3412
92,7.93,0,0.009714595,7,120.0414,9,1985,1,0,2,487.3656
93,12.15,0,0.131383762,7,246.046,0,1999,0,0,0,1231.73
94,8.75,1,0.07461309,3,187.4556,8,2004,1,2,0,3755.112
52,12.15,0,0.028459761,4,149.9708,4,1985,0,1,3,4363.6532
94,8.75,1,0.07462720099999999,3,187.8556,7,1997,1,0,0,1314.2892
95,13.3,0,0.063695084,7,151.0708,5,2002,1,2,0,1805.6496
96,20.6,1,0.045797829000000005,6,178.5344,4,1985,0,1,3,2854.9504
97,8.31,1,0.11585722300000001,6,179.1028,0,1999,0,0,0,3896.2616
98,16.75,1,0.024832806000000002,1,38.7822,3,1987,2,1,0,667.7974
99,19.75,0,0.034027909,6,212.0902,1,2009,0,1,1,3185.853
100,17.1,1,0.046769599999999995,11,141.1838,3,1987,2,1,0,2247.7408
101,10.5,1,0.11657670199999999,5,163.121,3,1987,2,1,0,1794.3310000000001
102,6.635,1,0.006336295,5,121.3098,5,2002,1,2,0,2530.7058
103,9.395,0,0.278974075,1,225.372,9,1985,1,0,2,679.1160000000001
104,14.15,0,0.035913805,1,41.4138,3,1987,2,1,0,812.2760000000001
105,13.3,0,0.079806266,0,232.53,7,1997,1,0,0,699.09
106,8.89,0,0.005505481,7,102.4016,6,2007,1,2,0,2732.4432
107,6.69,1,0.064625342,2,176.937,9,1985,1,0,2,176.437
108,6.195,0,0.071636937,6,121.7098,4,1985,0,1,3,4097.3332
109,9.1,1,0.10004742100000001,12,173.2054,5,2002,1,2,0,3151.8972
110,7.5,0,0.032677677999999995,7,239.0906,0,1999,0,0,0,5942.265
111,16.85,1,0.160760054,7,192.4478,6,2007,1,2,0,4843.695
112,7.485,0,0.06911065,6,109.0228,8,2004,1,2,0,2542.0244
113,11.6,0,0.041177505,1,140.3154,6,2007,1,2,0,2552.6772
114,11.65,0,0.040081193,6,227.0694,1,2009,0,1,1,1141.847
115,13.0,0,0.035307322,4,47.5034,6,2007,1,2,0,680.4476
116,12.65,0,0.063017847,1,159.0578,5,2002,1,2,0,2085.9514
117,20.25,1,0.171938781,11,92.512,2,1998,1,1,2,186.424
118,8.6,1,0.040197932,11,190.153,8,2004,1,2,0,3036.048
119,12.6,0,0.049058014000000004,12,62.7194,6,2007,1,2,0,866.8716
120,17.7,0,0.01161096,7,95.041,8,2004,1,2,0,868.8689999999999
121,14.15,0,0.183507295,1,82.4276,7,1997,1,0,0,1137.1864
29,19.25,0,0.102349519,0,52.7956,6,2007,1,2,0,928.1252
122,8.88,0,0.08670898699999999,10,151.7682,3,1987,2,1,0,762.341
123,20.5,0,0.032835147,4,40.2822,5,2002,1,2,0,707.0796
124,12.0,0,0.033809913,11,180.5976,4,1985,0,1,3,7968.2944
125,13.5,0,0.07266912,4,160.292,7,1997,1,0,0,1438.128
126,12.15,0,0.144338493,9,224.4404,4,1985,0,1,3,6976.2524
106,8.89,0,0.009163216,7,101.7016,2,1998,1,1,2,101.2016
70,7.855,0,0.011307038,11,188.5188,1,2009,0,1,1,952.0939999999999
127,7.235,0,0.076855628,4,116.0492,7,1997,1,0,0,1969.4364
69,18.25,0,0.059956876,13,165.4526,4,1985,0,1,3,5262.4832
128,6.92,0,0.038532062,0,60.5852,5,2002,1,2,0,1314.2892
129,9.3,0,0.043209581,3,90.8172,6,2007,1,2,0,535.3032
130,18.5,0,0.056816465,14,132.1284,2,1998,1,1,2,263.6568
131,8.02,0,0.019866705,4,154.5972,8,2004,1,2,0,1402.1748
54,9.195,0,0.048331717,4,105.1622,6,2007,1,2,0,1693.7952
132,12.8,0,0.091221855,14,105.5938,5,2002,1,2,0,2143.876
133,16.6,0,0.027622076000000002,4,177.6344,0,1999,0,0,0,2676.5159999999996
134,14.0,1,0.1540292196,7,53.06399999999999,8,2004,1,2,0,905.488
135,18.6,0,0.039355947,7,246.3802,0,1999,0,0,0,7370.406
136,16.0,0,0.060836524,13,226.8404,8,2004,1,2,0,6301.1312
137,17.6,0,0.082316506,9,160.692,8,2004,1,2,0,1597.92
138,21.25,0,0.155350299,6,178.237,8,2004,1,2,0,529.311
127,7.235,0,0.076841095,4,117.5492,8,2004,1,2,0,1969.4364
139,14.6,0,0.151419185,1,50.3692,6,2007,1,2,0,1034.6532
23,13.85,1,0.026001976,7,161.52100000000002,1,2009,0,1,1,1794.3310000000001
140,13.65,1,0.073209447,7,197.6426,1,2009,0,1,1,2768.3964
141,9.5,0,0.041683481,1,31.29,4,1985,0,1,3,898.83
142,7.365,0,0.042560252,3,226.172,7,1997,1,0,0,3169.208
143,18.35,0,0.014081156000000001,4,223.5746,1,2009,0,1,1,3589.9936
144,5.465,1,0.04854485420000001,5,132.5626,1,2009,0,1,1,262.3252
145,18.6,0,0.152918384,8,99.8358,6,2007,1,2,0,1910.1802
146,13.85,0,0.030969273999999998,1,140.9154,6,2007,1,2,0,1701.7848
147,14.0,1,0.06037677599999999,7,154.5656,3,1987,2,1,0,2471.4496
148,14.0,1,0.04192285,6,54.763999999999996,3,1987,2,1,0,1331.6
149,21.35,0,0.077367431,3,97.0094,4,1985,0,1,3,1808.9786
76,5.905,0,0.045838211,11,222.5456,1,2009,0,1,1,3315.684
150,7.27,0,0.071077939,1,114.2518,7,1997,1,0,0,2618.5914
151,6.155,1,0.09465987099999999,2,214.55599999999998,7,1997,1,0,0,2769.728
152,19.5,1,0.077608838,1,233.4958,6,2007,1,2,0,5375.0034
153,15.2,0,0.021327477,11,216.8824,6,2007,1,2,0,2838.9712
42,12.15,1,0.042485444000000004,11,125.0046,1,2009,0,1,1,1743.0644
21,14.6,0,0.025578526,4,198.8084,4,1985,0,1,3,5555.4352
119,12.6,0,0.048980800000000005,12,61.9194,1,2009,0,1,1,619.194
154,14.5,0,0.019471688,14,164.821,8,2004,1,2,0,2120.573
155,16.6,0,0.122918852,3,173.0738,6,2007,1,2,0,3823.0236
156,11.8,1,0.057373797000000004,2,151.4366,3,1987,2,1,0,1360.2294
157,13.1,1,0.044155597000000005,3,178.8318,3,1987,2,1,0,3969.4996
158,17.7,0,0.291865402,3,115.1834,2,1998,1,1,2,345.5502
159,17.85,0,0.08760952874999998,12,196.5794,2,1998,1,1,2,585.2382
160,12.3,1,0.064750025,13,92.6804,5,2002,1,2,0,1010.6844
161,11.8,0,0.098312421,9,81.4618,2,1998,1,1,2,161.1236
162,9.395,1,0.191013663,1,42.1112,9,1985,1,0,2,42.6112
163,11.1,0,0.176573035,5,157.4604,5,2002,1,2,0,3010.7476
147,14.0,1,0.060134441,7,153.0656,4,1985,0,1,3,6024.1584
164,11.3,0,0.0072946519999999996,2,198.1426,5,2002,1,2,0,988.7130000000001
165,10.0,0,0.128478462,9,117.944,9,1985,1,0,2,239.688
166,5.75,1,0.075107656,0,112.8176,3,1987,2,1,0,1374.2112
167,6.215,1,0.049381405999999996,5,226.8062,4,1985,0,1,3,4739.8302
168,11.35,1,0.045165795999999994,6,100.0016,1,2009,0,1,1,1012.0160000000001
169,11.1,1,0.09415375,3,165.7526,9,1985,1,0,2,657.8104
170,14.0,0,0.028907832,9,130.431,0,1999,0,0,0,778.9860000000001
171,19.75,1,0.018059621,7,179.766,5,2002,1,2,0,2336.958
172,6.525,0,0.09043609400000001,4,85.0882,0,1999,0,0,0,2233.0932
173,10.3,0,0.146399712,2,103.9648,0,1999,0,0,0,1661.8368
174,5.78,1,0.07426435599999999,6,264.7568,0,1999,0,0,0,4745.8224
175,11.85,1,0.050186725999999994,3,164.1526,5,2002,1,2,0,3124.5994
176,16.35,0,0.020631654,3,50.1324,1,2009,0,1,1,467.3916
177,17.6,0,0.01561108,4,182.5976,4,1985,0,1,3,5070.7328
178,10.5,0,0.041395445,3,37.6164,7,1997,1,0,0,540.6296
179,19.0,1,0.097313129,7,48.0718,7,1997,1,0,0,992.7078
180,14.6,0,0.059582996,14,238.8538,0,1999,0,0,0,6008.845
181,15.6,1,0.09866365199999999,0,62.9194,4,1985,0,1,3,2105.2596
182,4.615,1,0.101338651,11,232.63,4,1985,0,1,3,5359.69
183,18.75,0,0.052146455999999994,9,104.62799999999999,5,2002,1,2,0,745.696
184,5.26,1,0.041764487,5,161.8868,8,2004,1,2,0,3275.736
185,18.25,0,0.054344185999999996,6,140.2154,5,2002,1,2,0,1701.7848
186,10.3,0,0.07836248400000001,5,177.937,4,1985,0,1,3,6704.606
187,15.1,0,0.052339069,2,242.7512,7,1997,1,0,0,4119.9704
188,15.5,1,0.042464962,5,81.5934,2,1998,1,1,2,327.5736
189,13.65,0,0.06573288299999999,7,45.7402,0,1999,0,0,0,780.9834
190,16.1,0,0.023625114,1,189.3846,5,2002,1,2,0,3630.6074
191,5.175,1,0.051643608,6,107.3622,9,1985,1,0,2,317.5866
192,12.85,0,0.165694219,7,39.7164,2,1998,1,1,2,231.6984
141,9.5,0,0.041878397000000005,1,32.99,8,2004,1,2,0,133.16
193,13.8,0,0.058091482,0,245.1802,8,2004,1,2,0,5650.6446
174,5.78,1,0.08135668242857143,6,263.7568,6,2007,1,2,0,2636.5679999999998
194,19.7,0,0.026903714,4,96.0726,5,2002,1,2,0,1272.3438
195,14.65,0,0.09383050716666665,4,161.5552,2,1998,1,1,2,324.9104
196,6.67,1,0.150554711,6,130.0626,2,1998,1,1,2,131.1626
197,6.11,1,0.10304264314285715,3,131.2968,2,1998,1,1,2,260.9936
198,13.65,1,0.13497562800000001,7,260.0936,2,1998,1,1,2,260.9936
199,17.2,0,0.15616879,2,160.6578,3,1987,2,1,0,3690.5294
200,6.32,0,0.013952322428571428,2,40.2822,8,2004,1,2,0,1139.1838
201,4.88,1,0.133700752,5,52.9298,0,1999,0,0,0,1995.4026
202,5.425,1,0.115119905,5,88.3514,6,2007,1,2,0,1416.8224
203,15.85,1,0.11003099699999999,7,37.2506,7,1997,1,0,0,265.6542
204,7.5,0,0.051038045,11,121.7072,6,2007,1,2,0,3552.7088
116,12.65,0,0.062837968,1,161.5578,3,1987,2,1,0,2406.867
205,9.06,0,0.017116983,14,211.956,9,1985,1,0,2,213.05599999999998
87,20.75,0,0.024129332000000003,3,124.17299999999999,3,1987,2,1,0,2956.152
206,8.93,0,0.049754975,0,152.134,9,1985,1,0,2,153.134
207,9.0,0,0.07956224775000001,11,79.7644,8,2004,1,2,0,1649.8524
208,16.7,0,0.101561568,11,181.9292,4,1985,0,1,3,3101.2964
209,6.36,0,0.0059496440000000005,4,165.6526,4,1985,0,1,3,4769.1254
210,5.365,1,0.13956116,15,170.4764,4,1985,0,1,3,3435.528
211,14.1,0,0.126035694,3,86.4198,5,2002,1,2,0,1133.8574
212,7.55,0,0.027164679,11,152.334,8,2004,1,2,0,2603.278
24,13.0,0,0.099325278,4,45.406000000000006,7,1997,1,0,0,605.878
213,9.3,0,0.04357366,10,192.8846,4,1985,0,1,3,2293.0152
13,17.6,1,0.082741482,6,118.7782,9,1985,1,0,2,119.1782
160,12.3,1,0.064565202,13,92.9804,3,1987,2,1,0,1929.4884
214,7.05,0,0.08455456900000001,6,109.8912,4,1985,0,1,3,2074.6328
161,11.8,0,0.058451805,9,79.9618,4,1985,0,1,3,241.6854
215,17.25,0,0.113748685,4,251.3724,5,2002,1,2,0,6795.1548
216,15.85,0,0.020603511,4,42.7112,6,2007,1,2,0,639.168
217,18.85,0,0.052044976,9,192.1846,8,2004,1,2,0,3248.4382
218,16.35,1,0.06276442900000001,3,227.6062,6,2007,1,2,0,7222.5984
219,14.1,0,0.08797726199999999,0,229.0668,8,2004,1,2,0,3225.1352
53,7.905,0,0.010010425,6,249.0408,8,2004,1,2,0,3755.112
124,12.0,0,0.033946163,11,179.3976,3,1987,2,1,0,3440.8544
220,12.15,1,0.058414678,3,163.4552,8,2004,1,2,0,974.7312
221,10.1,0,0.027106459,2,75.367,0,1999,0,0,0,535.969
222,17.5,0,0.027022882999999998,7,262.491,6,2007,1,2,0,5259.82
223,18.35,0,0.058153409,0,152.034,9,1985,1,0,2,306.268
224,17.1,0,0.128937661,3,112.3886,1,2009,0,1,1,1779.0176
225,7.785,0,0.088846306,3,61.451,0,1999,0,0,0,759.012
226,11.8,1,0.09357779,6,125.9704,3,1987,2,1,0,1877.556
227,13.15,1,0.165694678,3,171.8764,5,2002,1,2,0,3779.0808
228,6.4,0,0.148392623,7,41.5796,9,1985,1,0,2,41.2796
229,8.5,0,0.098438394,11,51.1324,6,2007,1,2,0,259.66200000000003
67,8.645,0,0.143303291,9,96.34100000000001,3,1987,2,1,0,193.082
230,17.6,1,0.076276208,2,110.9202,5,2002,1,2,0,1687.8029999999999
231,9.1,0,0.175103435,5,127.5362,6,2007,1,2,0,4655.9394
232,12.8,1,0.023511371,2,225.9404,3,1987,2,1,0,4950.8888
233,7.63,0,0.06105276,1,95.4436,8,2004,1,2,0,1418.154
234,9.285,1,0.049559042000000005,7,246.4144,6,2007,1,2,0,1225.072
235,13.6,1,0.119418124,0,231.03,5,2002,1,2,0,5359.69
236,8.895,0,0.072545601,8,176.237,5,2002,1,2,0,1764.37
237,16.35,0,0.090486828,4,195.21099999999998,3,1987,2,1,0,2553.343
238,17.6,0,0.056245075,7,43.3454,3,1987,2,1,0,1006.6896
239,7.975,0,0.014618973,5,85.225,3,1987,2,1,0,1081.925
240,15.85,0,0.04347912599999999,13,36.7164,6,2007,1,2,0,308.9312
241,15.7,0,0.045166237000000005,7,178.666,3,1987,2,1,0,2516.724
242,8.985,1,0.057827101,7,128.83100000000002,7,1997,1,0,0,1428.141
243,20.35,0,0.089394766,0,260.1594,3,1987,2,1,0,2093.2752
244,6.59,0,0.10550944,3,85.6908,3,1987,2,1,0,1929.4884
245,19.85,0,0.005234153,0,264.0884,8,2004,1,2,0,5829.7448
246,16.85,0,0.036390174,6,91.4488,7,1997,1,0,0,2082.6224
64,19.35,0,0.03292824,2,173.1738,4,1985,0,1,3,7298.4996
247,16.75,0,0.081252534,3,256.4988,3,1987,2,1,0,7452.9652
230,17.6,1,0.076552407,2,110.5202,6,2007,1,2,0,450.0808
53,7.905,0,0.016758568999999997,6,250.4408,2,1998,1,1,2,500.6816
248,17.85,0,0.044248175,6,126.20200000000001,4,1985,0,1,3,3668.558
249,7.785,1,0.038288087,3,103.1964,1,2009,0,1,1,736.3748
71,7.825,0,0.186032678,4,253.0698,8,2004,1,2,0,6088.0752
250,9.0,0,0.031867464,4,101.0016,4,1985,0,1,3,2125.2336
251,20.75,0,0.021370201000000002,1,153.0024,6,2007,1,2,0,2277.036
252,11.1,0,0.193772568,3,190.3846,9,1985,1,0,2,573.2538
253,6.26,1,0.009866049,2,151.1366,8,2004,1,2,0,2267.049
254,18.2,0,0.082551042,3,147.3734,2,1998,1,1,2,296.9468
24,13.0,0,0.099729888,4,46.306000000000004,1,2009,0,1,1,559.2719999999999
255,20.25,1,0.018801549,3,222.1772,8,2004,1,2,0,5559.43
256,8.695,0,0.11972145099999999,4,95.5094,0,1999,0,0,0,1237.7222
150,7.27,0,0.071222087,1,113.5518,5,2002,1,2,0,569.259
257,10.695,1,0.060371962,8,174.0712,4,1985,0,1,3,3866.9664
258,12.85,0,0.033287541000000004,3,198.4768,5,2002,1,2,0,1379.5376
259,7.075,0,0.05858462,0,142.7128,1,2009,0,1,1,1869.5664
260,20.2,1,0.11679292,5,196.21099999999998,4,1985,0,1,3,5499.508000000001
261,8.195,0,0.031452265,5,94.3462,0,1999,0,0,0,925.462
262,7.09,0,0.00721395,5,47.9034,8,2004,1,2,0,583.2408
263,6.095,0,0.081196619,14,141.4154,7,1997,1,0,0,1418.154
264,19.35,1,0.049916364000000005,3,80.2644,6,2007,1,2,0,942.7728
265,6.15,0,0.04627095,5,99.3384,7,1997,1,0,0,2364.9216
266,17.35,1,0.02747716,11,87.9856,4,1985,0,1,3,3251.7672
35,20.2,1,0.10470453699999999,3,125.2678,9,1985,1,0,2,254.3356
267,17.7,0,0.012540003000000001,4,167.0474,8,2004,1,2,0,5895.659000000001
32,17.85,0,0.147023834,12,93.7436,1,2009,0,1,1,1134.5232
103,9.395,0,0.15965759599999998,1,224.972,5,2002,1,2,0,7696.648
268,15.75,0,0.141398626,10,250.5382,6,2007,1,2,0,2775.7202
269,7.475,0,0.148821808,3,241.2854,5,2002,1,2,0,5317.0788
270,7.075,0,0.024750682857142856,7,98.0068,1,2009,0,1,1,874.8612
271,6.445,0,0.029691762000000003,5,92.6436,7,1997,1,0,0,1039.9796
272,19.1,0,0.09671552300000001,3,235.0958,8,2004,1,2,0,3038.0454
273,20.25,1,0.014790558999999998,0,193.6162,8,2004,1,2,0,3848.324
274,15.0,1,0.054378253,11,59.1904,7,1997,1,0,0,527.3136
275,6.67,1,0.123428594,6,89.1514,7,1997,1,0,0,2390.8878
276,13.0,1,0.029943462999999997,11,60.222,4,1985,0,1,3,1677.816
277,16.7,1,0.052368060999999994,7,112.7176,3,1987,2,1,0,801.6232
278,7.07,0,0.09386114400000001,6,115.5834,5,2002,1,2,0,1267.0174
279,6.48,0,0.033968647000000005,6,148.0076,5,2002,1,2,0,886.8456
280,19.0,1,0.173154079,3,228.27200000000002,2,1998,1,1,2,452.744
281,13.35,0,0.139735226,7,147.5392,5,2002,1,2,0,3877.6192
282,5.98,0,0.043351895999999994,3,146.6418,4,1985,0,1,3,4414.254
283,9.3,0,0.042086652,10,122.4388,4,1985,0,1,3,5448.9072
284,9.695,1,0.12848269,5,223.9404,0,1999,0,0,0,4950.8888
285,15.0,0,0.049357077,1,62.6168,6,2007,1,2,0,958.752
286,11.15,1,0.008326735,0,149.9708,6,2007,1,2,0,1956.1204
287,20.85,0,0.021362955,3,103.2306,0,1999,0,0,0,2404.2038
288,9.8,0,0.151420934,14,194.3478,2,1998,1,1,2,387.4956
289,16.35,0,0.032511818,2,165.0842,3,1987,2,1,0,994.7052
290,9.6,1,0.022323658,12,101.29899999999999,5,2002,1,2,0,1754.3829999999998
291,18.0,0,0.019292355,9,129.9994,4,1985,0,1,3,3340.9844
292,13.35,0,0.048124442999999996,12,216.7166,5,2002,1,2,0,3918.8988
293,20.7,0,0.09261307,0,76.367,3,1987,2,1,0,306.268
294,15.1,0,0.094697274,5,158.4604,4,1985,0,1,3,4278.4308
295,16.2,0,0.035984103999999996,3,260.6278,5,2002,1,2,0,4425.5726
296,13.8,1,0.056596985,6,230.9984,4,1985,0,1,3,9267.936
297,15.6,0,0.2047,7,76.867,9,1985,1,0,2,229.701
298,21.1,1,0.020618324,8,129.3994,4,1985,0,1,3,2055.9904
299,5.5,0,0.04709821,14,101.3016,7,1997,1,0,0,3339.6528
300,15.1,1,0.087584126,3,221.7456,5,2002,1,2,0,6410.3224
301,15.7,1,0.038078899,7,122.9046,6,2007,1,2,0,1992.0736
302,7.895,1,0.095102092,8,104.4332,6,2007,1,2,0,2870.9296
303,17.2,1,0.011953901999999999,11,164.5184,4,1985,0,1,3,2807.0128
304,17.35,1,0.062799379,5,88.18299999999999,3,1987,2,1,0,539.298
305,7.285,0,0.031125708999999998,4,174.3054,3,1987,2,1,0,4377.635
306,20.25,0,0.026005891,4,180.9976,5,2002,1,2,0,2716.4640000000004
307,18.75,0,0.09246392,6,190.9504,9,1985,1,0,2,383.5008
308,15.85,0,0.107765165,1,59.5904,0,1999,0,0,0,703.0848
309,6.17,0,0.010647476999999999,2,66.3826,0,1999,0,0,0,1937.4779999999998
310,19.5,0,0.015749341,4,182.2608,0,1999,0,0,0,3307.6944
311,19.2,0,0.077628053,4,197.611,0,1999,0,0,0,3142.5759999999996
208,16.7,0,0.10207171799999999,11,181.2292,1,2009,0,1,1,2554.0088
312,20.85,1,0.056695731,12,104.0648,1,2009,0,1,1,1869.5664
313,14.5,1,0.063993068,12,260.4594,5,2002,1,2,0,5494.8474
314,11.395,1,0.06952926200000001,2,233.1616,3,1987,2,1,0,6093.4016
315,7.97,0,0.034452949,1,174.0422,7,1997,1,0,0,2586.633
316,7.71,1,0.06670068,6,55.2956,0,1999,0,0,0,1255.6988
317,19.25,1,0.034699737,11,141.7496,7,1997,1,0,0,4093.3384
259,7.075,0,0.058346939,0,142.2128,7,1997,1,0,0,3163.8816
